Test,Function,Failed,Passed,Occurrence_Count,Failure_Count,Success_Count,Tarantula_Score,SBI_Score,Jaccard_Score,Ochiai_Score,Average_Score
testCloning,org/jfree/data/xy/XIntervalSeriesCollection:clone:()Ljava/lang/Object;,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization4,org/jfree/data/time/TimeSeriesCollection:getStartY:(II)Ljava/lang/Number;,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization4,org/jfree/data/time/TimeSeriesCollection:getY:(II)Ljava/lang/Number;,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization4,org/jfree/data/time/TimeSeriesCollection:getItemCount:(I)I,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setOuterSeparatorExtension:(D)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testHashCode,org/jfree/chart/labels/SymbolicXYItemLabelGenerator:hashCode:()I,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testEquals,org/jfree/chart/plot/RingPlot:setSectionDepth:(D)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization2,org/jfree/chart/LegendItem:<init>:(Ljava/text/AttributedString;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZLjava/awt/Shape;ZLjava/awt/Paint;ZLjava/awt/Paint;Ljava/awt/Stroke;ZLjava/awt/Shape;Ljava/awt/Stroke;Ljava/awt/Paint;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization2,org/jfree/chart/LegendItem:<init>:(Ljava/text/AttributedString;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/awt/Shape;Ljava/awt/Paint;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testDrawWithNullInfo2,org/jfree/chart/renderer/category/GanttRenderer:getStartPercent:()D,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
testSerialization,org/jfree/chart/renderer/xy/StackedXYAreaRenderer:readObject:(Ljava/io/ObjectInputStream;)V,True,False,1,1.0,0.0,1.0,1.0,0.03125,0.17677669529663687,0.5520066738241592
