Function,Occurrence_Count,Failure_Count,Success_Count,Suspiciousness_Score
org/jfree/chart/plot/RingPlot:setCenterTextMode:(Lorg/jfree/chart/plot/CenterTextMode;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/AreaRendererEndType:<init>:(Ljava/lang/String;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:writeObject:(Ljava/io/ObjectOutputStream;)V,1,1.0,0.0,1.0
org/jfree/chart/ChartFactory:createTimeSeriesChart:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lorg/jfree/data/xy/XYDataset;)Lorg/jfree/chart/JFreeChart;,1,1.0,0.0,1.0
org/jfree/data/time/TimeSeriesCollection:getDomainBounds:(Z)Lorg/jfree/data/Range;,1,1.0,0.0,1.0
org/jfree/data/time/TimeSeriesCollection:getEndY:(II)Ljava/lang/Number;,1,1.0,0.0,1.0
org/jfree/data/time/TimeSeriesCollection:getStartY:(II)Ljava/lang/Number;,1,1.0,0.0,1.0
org/jfree/data/time/TimeSeriesCollection:getY:(II)Ljava/lang/Number;,1,1.0,0.0,1.0
org/jfree/data/time/TimeSeriesCollection:getItemCount:(I)I,1,1.0,0.0,1.0
org/jfree/data/statistics/SimpleHistogramBin:clone:()Ljava/lang/Object;,1,1.0,0.0,1.0
org/jfree/chart/LegendItem:<init>:(Ljava/text/AttributedString;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;ZLjava/awt/Shape;ZLjava/awt/Paint;ZLjava/awt/Paint;Ljava/awt/Stroke;ZLjava/awt/Shape;Ljava/awt/Stroke;Ljava/awt/Paint;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GanttRenderer:drawTask:(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/gantt/GanttCategoryDataset;II)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GanttRenderer:drawTasks:(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/gantt/GanttCategoryDataset;II)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GanttRenderer:drawItem:(Ljava/awt/Graphics2D;Lorg/jfree/chart/renderer/category/CategoryItemRendererState;Ljava/awt/geom/Rectangle2D;Lorg/jfree/chart/plot/CategoryPlot;Lorg/jfree/chart/axis/CategoryAxis;Lorg/jfree/chart/axis/ValueAxis;Lorg/jfree/data/category/CategoryDataset;III)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GanttRenderer:getEndPercent:()D,1,1.0,0.0,1.0
org/jfree/chart/renderer/AreaRendererEndType:<clinit>:()V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GanttRenderer:getStartPercent:()D,1,1.0,0.0,1.0
org/jfree/chart/annotations/CategoryTextAnnotation:setCategoryAnchor:(Lorg/jfree/chart/axis/CategoryAnchor;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/GradientBarPainter:splitHorizontalBar:(Ljava/awt/geom/RectangularShape;DDD)[Ljava/awt/geom/Rectangle2D;,1,1.0,0.0,1.0
org/jfree/chart/axis/CategoryAxis:getCategorySeriesMiddle:(Ljava/lang/Comparable;Ljava/lang/Comparable;Lorg/jfree/data/category/CategoryDataset;DLjava/awt/geom/Rectangle2D;Lorg/jfree/ui/RectangleEdge;)D,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setSectionDepth:(D)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setOuterSeparatorExtension:(D)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setInnerSeparatorExtension:(D)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setSeparatorStroke:(Ljava/awt/Stroke;)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setSeparatorsVisible:(Z)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setCenterTextColor:(Ljava/awt/Color;)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setCenterTextFont:(Ljava/awt/Font;)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setCenterTextFormatter:(Ljava/text/Format;)V,1,1.0,0.0,1.0
org/jfree/chart/plot/RingPlot:setCenterText:(Ljava/lang/String;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/category/AreaRenderer:setEndType:(Lorg/jfree/chart/renderer/AreaRendererEndType;)V,1,1.0,0.0,1.0
org/jfree/chart/labels/SymbolicXYItemLabelGenerator:hashCode:()I,1,1.0,0.0,1.0
org/jfree/chart/LegendItem:<init>:(Ljava/text/AttributedString;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/awt/Shape;Ljava/awt/Paint;)V,1,1.0,0.0,1.0
org/jfree/chart/renderer/xy/StackedXYAreaRenderer:readObject:(Ljava/io/ObjectInputStream;)V,1,1.0,0.0,1.0
org/jfree/chart/LegendItem:characterIteratorToString:(Ljava/text/CharacterIterator;)Ljava/lang/String;,1,1.0,0.0,1.0
org/jfree/data/xy/XYSeriesCollection:removeAllSeries:()V,1,1.0,0.0,1.0
